title,description,meal_time,prep_time_mins,effort_score,servings,tags,image_url,ingredients_list,shopping_list,recipe_steps,cuisine,user_id,is_user_created,source_url,source_name
"Simple Vanilla Milkshake","A small vanilla shake made with everyday freezer and fridge staples.","{""dessert"",""snack""}",5,1,1,"{""shake"",""smoothies-and-shakes"",""quick"",""easy"",""treat-cold""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/simple-vanilla-milkshake-956764265bba.jpg","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1/4 teaspoon vanilla extract""}","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1/4 teaspoon vanilla extract""}","{""Measure the milk into a blender. Let the ice cream stand for 2 minutes so it is easy to scoop."",""Add the ice cream and the remaining measured ingredients. Cover and blend in short bursts until the mixture is smooth and pourable."",""Turn off the blender before scraping down the sides if needed. Pour into one glass and enjoy right away.""}","American",,false,,
"Easy Chocolate Milkshake","Chocolate ice cream makes this two-ingredient shake easy to blend after dinner.","{""dessert"",""snack""}",5,1,1,"{""shake"",""smoothies-and-shakes"",""quick"",""easy"",""treat-cold""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/easy-chocolate-milkshake-3ea6cc98e181.jpg","{""1/4 cup cold milk"",""1 cup chocolate ice cream""}","{""1/4 cup cold milk"",""1 cup chocolate ice cream""}","{""Measure the milk into a blender. Let the ice cream stand for 2 minutes so it is easy to scoop."",""Add the ice cream and the remaining measured ingredients. Cover and blend in short bursts until the mixture is smooth and pourable."",""Turn off the blender before scraping down the sides if needed. Pour into one glass and enjoy right away.""}","American",,false,,
"Strawberry Jam Milkshake","A spoonful of strawberry jam adds berry flavor without chopping fruit.","{""dessert"",""snack""}",5,1,1,"{""shake"",""smoothies-and-shakes"",""quick"",""easy"",""treat-cold""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/strawberry-jam-milkshake-299bff3bbb53.jpg","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1 tablespoon strawberry jam""}","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1 tablespoon strawberry jam""}","{""Measure the milk into a blender. Let the ice cream stand for 2 minutes so it is easy to scoop."",""Add the ice cream and the remaining measured ingredients. Cover and blend in short bursts until the mixture is smooth and pourable."",""Turn off the blender before scraping down the sides if needed. Pour into one glass and enjoy right away.""}","American",,false,,
"Cookies and Cream Milkshake","Crunchy sandwich cookies turn vanilla ice cream into a quick cookies-and-cream treat.","{""dessert"",""snack""}",5,1,1,"{""shake"",""smoothies-and-shakes"",""quick"",""easy"",""treat-cold""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/cookies-and-cream-milkshake-711ab7b9203c.jpg","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""2 chocolate sandwich cookies, broken into pieces""}","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""2 chocolate sandwich cookies, broken into pieces""}","{""Measure the milk into a blender. Let the ice cream stand for 2 minutes so it is easy to scoop."",""Add the ice cream and the remaining measured ingredients. Cover and blend in short bursts until the mixture is smooth and pourable."",""Turn off the blender before scraping down the sides if needed. Pour into one glass and enjoy right away.""}","American",,false,,
"Peanut Butter Milkshake","A creamy peanut butter shake with three basic ingredients.","{""dessert"",""snack""}",5,1,1,"{""shake"",""smoothies-and-shakes"",""quick"",""easy"",""treat-cold""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/peanut-butter-milkshake-db8826a3c77c.jpg","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1 tablespoon creamy peanut butter""}","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1 tablespoon creamy peanut butter""}","{""Measure the milk into a blender. Let the ice cream stand for 2 minutes so it is easy to scoop."",""Add the ice cream and the remaining measured ingredients. Cover and blend in short bursts until the mixture is smooth and pourable."",""Turn off the blender before scraping down the sides if needed. Pour into one glass and enjoy right away.""}","American",,false,,
"Chocolate Peanut Butter Milkshake","Chocolate ice cream and peanut butter make an easy dessert for one.","{""dessert"",""snack""}",5,1,1,"{""shake"",""smoothies-and-shakes"",""quick"",""easy"",""treat-cold""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/chocolate-peanut-butter-milkshake-a95b33007425.jpg","{""1/4 cup cold milk"",""1 cup chocolate ice cream"",""1 tablespoon creamy peanut butter""}","{""1/4 cup cold milk"",""1 cup chocolate ice cream"",""1 tablespoon creamy peanut butter""}","{""Measure the milk into a blender. Let the ice cream stand for 2 minutes so it is easy to scoop."",""Add the ice cream and the remaining measured ingredients. Cover and blend in short bursts until the mixture is smooth and pourable."",""Turn off the blender before scraping down the sides if needed. Pour into one glass and enjoy right away.""}","American",,false,,
"Banana Vanilla Milkshake","Half a ripe banana adds sweetness and a soft banana flavor to vanilla ice cream.","{""dessert"",""snack""}",5,1,1,"{""shake"",""smoothies-and-shakes"",""quick"",""easy"",""treat-cold""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/banana-vanilla-milkshake-7b6cf2a3fe20.jpg","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1/2 medium ripe banana, peeled and sliced""}","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1/2 medium ripe banana, peeled and sliced""}","{""Measure the milk into a blender. Let the ice cream stand for 2 minutes so it is easy to scoop."",""Add the ice cream and the remaining measured ingredients. Cover and blend in short bursts until the mixture is smooth and pourable."",""Turn off the blender before scraping down the sides if needed. Pour into one glass and enjoy right away.""}","American",,false,,
"Caramel Milkshake","Use a little caramel topping for a simple diner-style shake at home.","{""dessert"",""snack""}",5,1,1,"{""shake"",""smoothies-and-shakes"",""quick"",""easy"",""treat-cold""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/caramel-milkshake-79c05db643a3.jpg","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1 tablespoon caramel ice cream topping""}","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1 tablespoon caramel ice cream topping""}","{""Measure the milk into a blender. Let the ice cream stand for 2 minutes so it is easy to scoop."",""Add the ice cream and the remaining measured ingredients. Cover and blend in short bursts until the mixture is smooth and pourable."",""Turn off the blender before scraping down the sides if needed. Pour into one glass and enjoy right away.""}","American",,false,,
"Coffee Vanilla Milkshake","Instant coffee gives a vanilla shake a coffee-shop flavor without brewing a pot. Contains caffeine.","{""dessert"",""snack""}",5,1,1,"{""shake"",""smoothies-and-shakes"",""quick"",""easy"",""treat-cold""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/coffee-vanilla-milkshake-569dbb733565.jpg","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1 teaspoon instant coffee granules""}","{""1/4 cup cold milk"",""1 cup vanilla ice cream"",""1 teaspoon instant coffee granules""}","{""Stir the instant coffee into the cold milk until dissolved. Pour into a blender. Let the ice cream stand for 2 minutes so it is easy to scoop."",""Add the ice cream and the remaining measured ingredients. Cover and blend in short bursts until the mixture is smooth and pourable."",""Turn off the blender before scraping down the sides if needed. Pour into one glass and enjoy right away.""}","American",,false,,
"Mint Chocolate Chip Milkshake","A two-ingredient minty shake with little flecks of chocolate.","{""dessert"",""snack""}",5,1,1,"{""shake"",""smoothies-and-shakes"",""quick"",""easy"",""treat-cold""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/mint-chocolate-chip-milkshake-b9932005924e.jpg","{""1/4 cup cold milk"",""1 cup green mint chocolate chip ice cream""}","{""1/4 cup cold milk"",""1 cup green mint chocolate chip ice cream""}","{""Measure the milk into a blender. Let the ice cream stand for 2 minutes so it is easy to scoop."",""Add the ice cream and the remaining measured ingredients. Cover and blend in short bursts until the mixture is smooth and pourable."",""Turn off the blender before scraping down the sides if needed. Pour into one glass and enjoy right away.""}","American",,false,,
