title,description,meal_time,prep_time_mins,effort_score,servings,tags,image_url,ingredients_list,shopping_list,recipe_steps,cuisine,user_id,is_user_created,source_url,source_name
"BBQ Chicken and Cheddar Quesadillas","A crisp tortilla dinner using leftover chicken and a little barbecue sauce. Serving illustration from the Mealsolved image library. The side salsa and guacamole are serving suggestions.","{""lunch"",""dinner""}",20,2,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""sandwich""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/bbq-chicken-and-cheddar-quesadillas-f0ceee4cf3e3.jpg","{""4 8-inch flour tortillas"",""1 1/2 cups cooked shredded chicken"",""3/4 cup shredded cheddar"",""1/4 cup barbecue sauce"",""1 teaspoon oil""}","{""4 8-inch flour tortillas"",""1 1/2 cups cooked shredded chicken"",""3/4 cup shredded cheddar"",""1/4 cup barbecue sauce"",""1 teaspoon oil""}","{""Warm the chicken with the barbecue sauce in a covered microwave-safe bowl, stirring until it reaches 165°F."",""Divide the chicken and cheese over half of each tortilla; fold closed."",""Heat a large skillet over medium-low with the oil. Cook two folded tortillas at a time, 2–3 minutes per side, until crisp and melted. Cut into wedges.""}","American",,false,"https://www.budgetbytes.com/ultimate-bbq-chicken-quesadillas/","Budget Bytes"
"Salsa Chicken Tacos","Warm salsa chicken tacos without waiting for a slow cooker. Serving illustration from the Mealsolved image library. Shows the chicken filling; lettuce and cheese are added when serving.","{""lunch"",""dinner""}",15,1,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""tacos""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/salsa-chicken-tacos-80f0f63f4932.jpg","{""1 1/2 cups cooked shredded chicken"",""3/4 cup mild chunky salsa"",""1/4 cup water"",""4 6-inch flour tortillas"",""1/2 cup shredded lettuce"",""1/4 cup shredded cheddar""}","{""1 1/2 cups cooked shredded chicken"",""3/4 cup mild chunky salsa"",""4 6-inch flour tortillas"",""1/2 cup shredded lettuce"",""1/4 cup shredded cheddar""}","{""Put chicken, salsa and water in a small pan. Cover and simmer gently for 5–8 minutes, stirring, until the chicken reaches 165°F."",""Warm the tortillas in a dry skillet for about 20 seconds on each side."",""Spoon chicken into the tortillas and add lettuce and cheese. Serve straight away.""}","Tex-Mex",,false,"https://www.budgetbytes.com/crock-pot-salsa-chicken/","Budget Bytes"
"Buffalo Chicken Sliders","Crispy buffalo chicken sliders made with fully cooked freezer tenders. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",30,1,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""sandwich""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/buffalo-chicken-sliders-144f47c25650.jpg","{""8 ounces frozen fully cooked breaded chicken tenders"",""4 slider buns"",""2 tablespoons buffalo wing sauce"",""2 tablespoons ranch dressing"",""8 pickle slices""}","{""8 ounces frozen fully cooked breaded chicken tenders"",""4 slider buns"",""2 tablespoons buffalo wing sauce"",""2 tablespoons ranch dressing"",""8 pickle slices""}","{""Heat the oven as directed on the tender package. Bake the fully cooked tenders for the package time, turning if directed, until crisp and 165°F inside; allow about 20 minutes plus preheating."",""Cut tenders to fit the buns and toss with buffalo sauce. Split the buns."",""Fill each bun with chicken, a little ranch and two pickle slices. Serve while crisp.""}","American",,false,"https://www.budgetbytes.com/slow-cooker-buffalo-chicken/","Budget Bytes"
"Chicken Bacon Ranch Pasta","Creamy ranch pasta with chicken, peas and ready-cooked bacon. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",25,2,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""pasta""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/chicken-bacon-ranch-pasta-321f71eb3243.jpg","{""6 ounces dry cavatappi pasta"",""1 cup frozen peas"",""1 cup cooked diced chicken"",""3 slices fully cooked bacon, chopped"",""3/4 cup jarred Alfredo sauce"",""1 teaspoon dry ranch seasoning"",""1/4 cup milk""}","{""6 ounces dry cavatappi pasta"",""1 cup frozen peas"",""1 cup cooked diced chicken"",""3 slices fully cooked bacon, chopped"",""3/4 cup jarred Alfredo sauce"",""1 teaspoon dry ranch seasoning"",""1/4 cup milk""}","{""Boil the pasta according to its package. Add peas for the last 3 minutes, then drain."",""Meanwhile put Alfredo sauce, milk, ranch seasoning, chicken and bacon in a saucepan. Simmer gently for 5–7 minutes, stirring, until the chicken reaches 165°F."",""Fold the drained pasta and peas into the sauce. Stir over low heat for a minute and divide between bowls.""}","American",,false,"https://www.hiddenvalley.com/recipe/ranch-chicken-and-bacon-pasta/","Hidden Valley Ranch"
"Pesto Chicken and Vegetable Skillet","Chicken, zucchini and peppers cooked in one skillet with jarred pesto. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",30,2,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""one-pan""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/pesto-chicken-and-vegetable-skillet-2c6fd679ef34.jpg","{""12 ounces boneless skinless chicken breast cutlets, 1/2-inch thick"",""1 tablespoon oil"",""1 medium zucchini"",""1 bell pepper"",""1 cup cherry tomatoes"",""3 tablespoons basil pesto"",""1/4 teaspoon salt""}","{""12 ounces boneless skinless chicken breast cutlets, 1/2-inch thick"",""1 tablespoon oil"",""1 medium zucchini"",""1 bell pepper"",""1 cup cherry tomatoes"",""3 tablespoons basil pesto"",""1/4 teaspoon salt""}","{""Cut zucchini into half-moons and pepper into strips. Season chicken with salt."",""Heat oil in a large skillet over medium-high. Cook chicken 4–5 minutes per side, until the thickest part reaches 165°F; transfer to a clean plate."",""Put zucchini and pepper in the same skillet. Cook 6–8 minutes, stirring, then add tomatoes for 2 minutes."",""Turn heat low and stir in pesto. Return the chicken and its juices; warm together for a minute.""}","American",,false,"https://www.budgetbytes.com/easy-pesto-chicken-and-vegetables/","Budget Bytes"
"Lemon Pepper Chicken Drumsticks","Lemon-pepper drumsticks with potatoes and carrots on the same tray. About 10 minutes of hands-on work; 60 minutes total. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",60,1,3,"{""easy"",""comfort-food"",""low-active-time"",""chicken"",""oven"",""one-pan""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/lemon-pepper-chicken-drumsticks-dbd13d12170e.jpg","{""6 chicken drumsticks"",""1 pound potatoes"",""3 medium carrots"",""2 tablespoons oil"",""2 teaspoons lemon-pepper seasoning"",""1/2 teaspoon salt""}","{""6 chicken drumsticks"",""1 pound potatoes"",""3 medium carrots"",""2 tablespoons oil"",""2 teaspoons lemon-pepper seasoning"",""1/2 teaspoon salt""}","{""Heat oven to 425°F. Cut potatoes into 3/4-inch chunks and carrots into 1/2-inch pieces."",""Toss vegetables with half the oil and salt on a large rimmed baking sheet. Coat drumsticks with the remaining oil and lemon-pepper seasoning; place alongside in one layer."",""Roast 40–45 minutes, turning vegetables halfway. Check the thickest chicken away from bone reaches at least 165°F and potatoes are fork-tender; cook longer if needed."",""Let the chicken rest for 5 minutes before serving with the vegetables.""}","American",,false,"https://www.budgetbytes.com/baked-chicken-drumsticks/","Budget Bytes"
"Crispy Honey Mustard Chicken Tenders","Freezer chicken tenders with an easy honey-mustard dip. Serving illustration from the Mealsolved image library. The photo shows roasted vegetables; this shortcut uses a microwave vegetable side.","{""lunch"",""dinner""}",30,1,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""freezer-friendly""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/crispy-honey-mustard-chicken-tenders-ca127ac601d0.jpg","{""10 ounces frozen fully cooked breaded chicken tenders"",""2 tablespoons mayonnaise"",""1 tablespoon honey"",""1 tablespoon Dijon mustard"",""2 cups frozen steam-in-bag vegetables""}","{""10 ounces frozen fully cooked breaded chicken tenders"",""2 tablespoons mayonnaise"",""1 tablespoon honey"",""1 tablespoon Dijon mustard"",""2 cups frozen steam-in-bag vegetables""}","{""Bake the fully cooked tenders following the package temperature and time, until crisp and 165°F inside. The estimate allows 10 minutes to preheat and about 20 minutes to bake."",""Mix mayonnaise, honey and mustard in a small bowl for dipping."",""Microwave the vegetables according to their package. Serve with the tenders and dip.""}","American",,false,"https://www.budgetbytes.com/honey-mustard-chicken-strips/","Budget Bytes"
"Teriyaki Chicken Stir-Fry","A takeout-style chicken stir-fry using frozen vegetables and bottled sauce. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",25,2,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""rice""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/teriyaki-chicken-stir-fry-5c367e5659ab.jpg","{""12 ounces boneless skinless chicken breast"",""1 tablespoon oil"",""3 cups frozen stir-fry vegetables"",""1/3 cup teriyaki sauce"",""1 8.8-ounce pouch microwave rice"",""2 tablespoons water""}","{""12 ounces boneless skinless chicken breast"",""1 tablespoon oil"",""3 cups frozen stir-fry vegetables"",""1/3 cup teriyaki sauce"",""1 8.8-ounce pouch microwave rice""}","{""Cut chicken into small bite-size pieces. Heat oil in a large skillet over medium-high."",""Cook chicken for 6–8 minutes, stirring often, until it reaches 165°F. Move it to a clean plate."",""Add frozen vegetables and water to the pan. Cover for 4 minutes, then uncover and stir-fry for 3–4 minutes until hot and tender."",""Return chicken, stir in teriyaki sauce and heat for 2 minutes. Microwave rice according to the pouch and serve underneath.""}","Asian-inspired",,false,"https://www.budgetbytes.com/easy-teriyaki-chicken/","Budget Bytes"
"Sticky Apricot Chicken","A sweet, sticky oven chicken dinner with apricot preserves. About 10 minutes of hands-on work; 60 minutes total. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",60,1,3,"{""easy"",""comfort-food"",""low-active-time"",""chicken"",""oven""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/sticky-apricot-chicken-1180c4d1cc2f.jpg","{""6 bone-in skin-on chicken thighs"",""1/2 cup apricot preserves"",""1 tablespoon Dijon mustard"",""1 tablespoon soy sauce"",""1 tablespoon oil"",""1 15-ounce can apricot halves in juice, drained""}","{""6 bone-in skin-on chicken thighs"",""1/2 cup apricot preserves"",""1 tablespoon Dijon mustard"",""1 tablespoon soy sauce"",""1 tablespoon oil"",""1 15-ounce can apricot halves in juice, drained""}","{""Heat oven to 400°F. Lightly oil a baking dish and arrange chicken skin-side up."",""Mix preserves, mustard and soy sauce. Spoon half over the chicken; keep the other half in a separate clean bowl."",""Bake 35 minutes. Add drained apricots around the chicken and spoon the reserved glaze over it."",""Bake another 10–15 minutes, until a thermometer in the thickest part away from bone reads at least 165°F. Rest for 5 minutes.""}","American",,false,"https://foodmeanderings.com/easy-apricot-chicken-5-ingredients/","Food Meanderings"
"Creamy Garlic Chicken","Thin chicken cutlets in a quick garlic cream sauce with spinach. Serving illustration from the Mealsolved image library.","{""lunch"",""dinner""}",25,2,2,"{""easy"",""comfort-food"",""quick"",""chicken"",""one-pan""}","https://raw.githubusercontent.com/wyattrommel-code/Food-For-you/main/assets/recipe-photos/creamy-garlic-chicken-6eaabc866b3e.jpg","{""12 ounces boneless skinless chicken breast cutlets, 1/2-inch thick"",""1 tablespoon butter"",""3 garlic cloves, minced"",""1/2 cup chicken broth"",""1/3 cup heavy cream"",""2 cups baby spinach"",""1/4 teaspoon salt"",""1/4 teaspoon black pepper""}","{""12 ounces boneless skinless chicken breast cutlets, 1/2-inch thick"",""1 tablespoon butter"",""3 garlic cloves, minced"",""1/2 cup chicken broth"",""1/3 cup heavy cream"",""2 cups baby spinach"",""1/4 teaspoon salt"",""1/4 teaspoon black pepper""}","{""Season chicken with salt and pepper. Melt butter in a skillet over medium heat."",""Cook cutlets for 4–5 minutes per side until 165°F inside. Transfer to a clean plate."",""Add garlic to the pan for 30 seconds. Pour in broth and cream, scraping the pan, then simmer gently for 3 minutes."",""Stir in spinach until wilted. Return chicken and warm in the sauce for 1–2 minutes.""}","American",,false,"https://www.budgetbytes.com/creamy-garlic-chicken/","Budget Bytes"
